Avg_salary,Rating,Size,Type of ownership,Industry,Sector,Revenue,No. of Competitors,Per_Hour,Employer_provided,State,job_loc,Age_of_company,Python,SPARK,AWS,EXCEL,Job_Titles_Simplified,Title_Seniority,Job_Description_Length
72.0,3.8,501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),0,0,0,NM,0,47,1,0,0,1,Data Scientist,Not Mentioned,2555
87.5,3.4,10000+ employees,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),0,0,0,MD,0,36,1,0,0,0,Data Scientist,Not Mentioned,4828
85.0,4.8,501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),0,0,0,FL,1,10,1,1,0,1,Data Scientist,Not Mentioned,3495
76.5,3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),3,0,0,WA,1,55,1,0,0,0,Data Scientist,Not Mentioned,3926
114.5,2.9,51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,3,0,0,NY,1,22,1,0,0,1,Data Scientist,Not Mentioned,2748
95.0,3.4,201 to 500 employees,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),3,0,0,TX,1,20,1,0,1,1,Data Scientist,Not Mentioned,3783
73.5,4.1,501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,0,MD,1,12,0,0,0,1,Data Scientist,Not Mentioned,1808
114.0,3.8,201 to 500 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),0,0,0,CA,0,15,1,1,1,1,Data Scientist,Not Mentioned,3847
61.0,3.3,10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,0,NY,1,6,0,0,0,0,Other Titles,Not Mentioned,1561
140.0,4.6,51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),2,0,0,NY,1,11,1,1,0,0,Data Scientist,Not Mentioned,4609
163.5,3.5,501 to 1000 employees,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),0,0,0,CA,0,9,1,0,0,0,Data Scientist,Not Mentioned,2789
85.0,4.1,5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,0,0,VA,0,52,0,0,0,0,Data Scientist,Not Mentioned,3522
139.0,3.2,10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),3,0,0,TX,0,58,0,0,0,0,Data Scientist,Not Mentioned,3980
65.5,4.1,201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,0,WA,1,8,1,1,1,1,Analyst,Not Mentioned,4942
113.5,3.7,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),3,0,0,MA,0,239,1,1,0,0,Data Scientist,Not Mentioned,3799
146.0,3.6,1001 to 5000 employees,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,0,0,0,NJ,1,25,0,0,0,1,Data Engineer,Not Mentioned,1902
102.0,3.9,51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),3,0,0,MA,1,9,0,0,0,1,Other Titles,Not Mentioned,3676
153.5,4.3,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,CA,1,9,1,1,1,1,Data Scientist,Not Mentioned,4201
142.5,4.2,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,CA,1,10,0,0,0,0,Data Scientist,Not Mentioned,3549
87.5,4.0,501 to 1000 employees,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),0,0,0,CO,1,105,1,0,0,1,Data Scientist,Not Mentioned,4434
105.5,3.2,201 to 500 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,3,0,0,WA,1,8,1,1,0,0,Data Scientist,Not Mentioned,2944
96.0,3.9,201 to 500 employees,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,0,0,0,TX,0,7,0,0,0,1,Data Scientist,Senior,6967
112.5,3.8,501 to 1000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,0,0,0,IL,0,25,1,0,1,1,Data Scientist,Not Mentioned,6472
84.0,4.3,51 to 200 employees,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),0,0,0,KY,0,85,1,0,0,1,Data Scientist,Not Mentioned,2951
143.0,4.0,501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3,0,0,VA,0,8,1,0,1,0,Data Scientist,Not Mentioned,3806
86.5,4.0,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,0,MA,0,171,1,0,1,1,Data Scientist,Not Mentioned,3728
99.5,3.5,1001 to 5000 employees,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),0,0,0,OR,0,68,1,1,1,1,Data Scientist,Not Mentioned,4452
47.5,3.7,5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,0,0,MA,1,168,0,0,0,1,Analyst,Not Mentioned,4984
84.0,4.0,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,0,CT,0,171,0,0,1,1,Data Scientist,Not Mentioned,5057
85.0,4.8,501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),0,0,0,FL,1,10,1,1,0,1,Data Scientist,Not Mentioned,3495
76.5,3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),3,0,0,WA,1,55,1,0,0,0,Data Scientist,Not Mentioned,3926
96.0,3.6,1001 to 5000 employees,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),0,0,0,MI,1,23,1,0,0,0,Data Scientist,Not Mentioned,3376
114.5,3.8,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,0,MA,0,24,1,0,0,0,Data Scientist,Not Mentioned,5126
121.0,3.8,5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),0,0,0,CA,1,24,1,1,0,1,Data Scientist,Not Mentioned,2378
112.5,4.7,201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,3,0,0,MA,1,46,1,0,0,1,Data Scientist,Not Mentioned,2187
106.0,4.2,201 to 500 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,0,CA,0,12,1,0,0,1,Analyst,Not Mentioned,1753
107.0,3.5,1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),1,0,0,CA,1,51,1,1,1,0,Data Scientist,Not Mentioned,5044
110.0,4.7,201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,0,MA,1,10,1,1,0,1,Data Scientist,Not Mentioned,3736
147.5,3.5,5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,0,CA,0,150,1,0,0,1,Data Scientist,Senior,3602
106.0,3.5,201 to 500 employees,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),0,0,0,NY,1,35,1,0,0,1,Data Engineer,Not Mentioned,1758
88.0,4.2,201 to 500 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),3,0,0,CA,1,12,1,0,1,1,Analyst,Not Mentioned,3079
98.5,3.6,1 to 50 employees,Company - Private,-1,-1,Less than $1 million (USD),0,0,0,MA,0,-1,0,0,0,1,Data Engineer,Not Mentioned,2042
142.5,4.2,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,CA,1,10,0,0,0,0,Data Scientist,Not Mentioned,3872
